,Year,Age,Female,Male,Total
98,1751-1754,98,0.353964,0.424543,0.37940300000000005
99,1751-1754,99,0.376366,0.46076300000000003,0.40689200000000003
100,1751-1754,100,0.40332199999999996,0.509304,0.441666
101,1751-1754,101,0.433963,0.5701430000000001,0.48294499999999996
102,1751-1754,102,0.478476,0.657388,0.542479
103,1751-1754,103,0.561271,0.794929,0.64523
104,1751-1754,104,0.7337779999999999,1.080798,0.858608
105,1751-1754,105,1.060209,1.386792,1.176768
106,1751-1754,106,1.854545,2.76378,2.18732
107,1751-1754,107,6.0,,6.0
108,1751-1754,108,,,
109,1751-1754,109,,,
110,1751-1754,110,,,
111,1755-1759,0,0.235172,0.26681,0.25111100000000003
112,1755-1759,1,0.066187,0.06617100000000001,0.066179
113,1755-1759,2,0.04173,0.041696,0.041713
114,1755-1759,3,0.027960000000000002,0.030107,0.029017
115,1755-1759,4,0.024321000000000002,0.026941000000000003,0.025633999999999997
116,1755-1759,5,0.021373,0.023349,0.022371000000000002
117,1755-1759,6,0.015368000000000001,0.016721,0.016044
118,1755-1759,7,0.01096,0.011687999999999999,0.011321
119,1755-1759,8,0.008054,0.008319,0.008186
120,1755-1759,9,0.006576,0.0066370000000000005,0.006606999999999999
121,1755-1759,10,0.006231,0.006311,0.006271
122,1755-1759,11,0.0064719999999999995,0.006647,0.00656
123,1755-1759,12,0.006659,0.006908,0.006784
124,1755-1759,13,0.006775,0.007062000000000001,0.0069180000000000005
125,1755-1759,14,0.006786,0.007061,0.006924
126,1755-1759,15,0.006706,0.006940000000000001,0.006823
127,1755-1759,16,0.0063,0.006689,0.006490999999999999
128,1755-1759,17,0.0060609999999999995,0.006695,0.006368
129,1755-1759,18,0.005983,0.006977,0.006459
130,1755-1759,19,0.006055,0.007541,0.006756999999999999
131,1755-1759,20,0.006234,0.008304,0.0072
132,1755-1759,21,0.006732999999999999,0.009299,0.007923999999999999
133,1755-1759,22,0.007215999999999999,0.010143000000000001,0.008568000000000001
134,1755-1759,23,0.007684999999999999,0.010814,0.009125
135,1755-1759,24,0.008143000000000001,0.011286,0.009586
136,1755-1759,25,0.008615000000000001,0.011592,0.00998
137,1755-1759,26,0.008794,0.011275,0.009937
138,1755-1759,27,0.009132,0.011084,0.010034999999999999
139,1755-1759,28,0.009637,0.011027,0.010284
140,1755-1759,29,0.010324,0.01112,0.010697
141,1755-1759,30,0.011092,0.011316,0.011197
142,1755-1759,31,0.012184,0.012066,0.012128
143,1755-1759,32,0.012824,0.012623,0.012729
144,1755-1759,33,0.012952000000000002,0.012953999999999999,0.012953000000000001
145,1755-1759,34,0.012516,0.013044,0.012767
146,1755-1759,35,0.011654000000000001,0.012996,0.012293
147,1755-1759,36,0.010597,0.012612,0.011556
148,1755-1759,37,0.010320999999999999,0.01275,0.011477
149,1755-1759,38,0.010803,0.013399000000000001,0.012039
150,1755-1759,39,0.012015000000000001,0.014518999999999999,0.013206
151,1755-1759,40,0.013678999999999998,0.015886,0.014728
152,1755-1759,41,0.015628,0.017775,0.016648
153,1755-1759,42,0.016932,0.019269,0.018039
154,1755-1759,43,0.017561,0.020363,0.018885
155,1755-1759,44,0.017474,0.021053,0.019158
156,1755-1759,45,0.016827,0.021459,0.018997999999999998
157,1755-1759,46,0.015475,0.020756,0.017942
158,1755-1759,47,0.014865999999999999,0.020602000000000002,0.017533
159,1755-1759,48,0.01495,0.020968999999999998,0.017733000000000002
160,1755-1759,49,0.015649,0.021779,0.018463
161,1755-1759,50,0.016682,0.022799,0.019466
162,1755-1759,51,0.019068,0.025450999999999998,0.021969
163,1755-1759,52,0.021177,0.027831,0.024199000000000002
164,1755-1759,53,0.022972,0.029891,0.026115
165,1755-1759,54,0.02451,0.031734,0.027795999999999998
166,1755-1759,55,0.026104000000000002,0.033701,0.029564
167,1755-1759,56,0.025465,0.0331,0.028898000000000004
168,1755-1759,57,0.025836,0.03335,0.029160000000000002
169,1755-1759,58,0.027129,0.034351,0.030264999999999997
170,1755-1759,59,0.029229,0.035903,0.032070999999999995
171,1755-1759,60,0.031681,0.037574,0.034144
172,1755-1759,61,0.036805000000000004,0.04168,0.038836
173,1755-1759,62,0.041267,0.045229000000000005,0.042916
174,1755-1759,63,0.044813,0.048237,0.046235000000000005
175,1755-1759,64,0.047145,0.050677,0.048605
176,1755-1759,65,0.048510000000000005,0.052697,0.050227999999999995
177,1755-1759,66,0.048770999999999995,0.05393,0.050856
178,1755-1759,67,0.050821,0.056274,0.052999
179,1755-1759,68,0.055008,0.05985700000000001,0.056935
180,1755-1759,69,0.061738,0.06504800000000001,0.063055
181,1755-1759,70,0.070786,0.071996,0.071268
182,1755-1759,71,0.08215399999999999,0.081902,0.082053
183,1755-1759,72,0.09300499999999999,0.09174600000000001,0.092504
184,1755-1759,73,0.102968,0.10152,0.102392
185,1755-1759,74,0.11166400000000001,0.111151,0.11145999999999999
186,1755-1759,75,0.119723,0.120903,0.12019300000000001
187,1755-1759,76,0.12288299999999999,0.12566300000000002,0.12398900000000002
188,1755-1759,77,0.128166,0.132724,0.12997
189,1755-1759,78,0.1363,0.142993,0.138914
190,1755-1759,79,0.147411,0.15682000000000001,0.151004
191,1755-1759,80,0.135235,0.138503,0.136486
192,1755-1759,81,0.15056,0.151891,0.151065
193,1755-1759,82,0.166302,0.166736,0.166465
194,1755-1759,83,0.18118800000000002,0.182025,0.181499
195,1755-1759,84,0.193099,0.19606099999999999,0.194188
196,1755-1759,85,0.200176,0.207325,0.20278800000000002
197,1755-1759,86,0.205695,0.21731999999999999,0.209919
198,1755-1759,87,0.211898,0.22794899999999998,0.2177
199,1755-1759,88,0.2204,0.241304,0.22790300000000002
200,1755-1759,89,0.23336300000000001,0.260843,0.24309299999999998
201,1755-1759,90,0.26909299999999997,0.286481,0.275154
202,1755-1759,91,0.28823000000000004,0.309838,0.295662
203,1755-1759,92,0.308383,0.335002,0.317409
204,1755-1759,93,0.32947,0.361631,0.340219
205,1755-1759,94,0.351562,0.390598,0.36440900000000004
